are_you_selfemployed,how_many_employees_does_your_company_or_organization_have,is_your_employer_primarily_a_tech_companyorganization,is_your_primary_role_within_your_company_related_to_techit,does_your_employer_provide_mental_health_benefits_as_part_of_healthcare_coverage,do_you_know_the_options_for_mental_health_care_available_under_your_employerprovided_coverage,has_your_employer_ever_formally_discussed_mental_health_for_example_as_part_of_a_wellness_campaign_or_other_official_communication,does_your_employer_offer_resources_to_learn_more_about_mental_health_concerns_and_options_for_seeking_help,is_your_anonymity_protected_if_you_choose_to_take_advantage_of_mental_health_or_substance_abuse_treatment_resources_provided_by_your_employer,if_a_mental_health_issue_prompted_you_to_request_a_medical_leave_from_work_asking_for_that_leave_would_be,do_you_think_that_discussing_a_mental_health_disorder_with_your_employer_would_have_negative_consequences,do_you_think_that_discussing_a_physical_health_issue_with_your_employer_would_have_negative_consequences,would_you_feel_comfortable_discussing_a_mental_health_disorder_with_your_coworkers,would_you_feel_comfortable_discussing_a_mental_health_disorder_with_your_direct_supervisors,do_you_feel_that_your_employer_takes_mental_health_as_seriously_as_physical_health,have_you_heard_of_or_observed_negative_consequences_for_coworkers_who_have_been_open_about_mental_health_issues_in_your_workplace,do_you_have_medical_coverage_private_insurance_or_stateprovided_which_includes_treatment_of_mental_health_issues,do_you_know_local_or_online_resources_to_seek_help_for_a_mental_health_disorder,if_you_have_been_diagnosed_or_treated_for_a_mental_health_disorder_do_you_ever_reveal_this_to_clients_or_business_contacts,if_you_have_revealed_a_mental_health_issue_to_a_client_or_business_contact_do_you_believe_this_has_impacted_you_negatively,if_you_have_been_diagnosed_or_treated_for_a_mental_health_disorder_do_you_ever_reveal_this_to_coworkers_or_employees,if_you_have_revealed_a_mental_health_issue_to_a_coworker_or_employee_do_you_believe_this_has_impacted_you_negatively,do_you_believe_your_productivity_is_ever_affected_by_a_mental_health_issue,if_yes_what_percentage_of_your_work_time_time_performing_primary_or_secondary_job_functions_is_affected_by_a_mental_health_issue,do_you_have_previous_employers,have_your_previous_employers_provided_mental_health_benefits,were_you_aware_of_the_options_for_mental_health_care_provided_by_your_previous_employers,did_your_previous_employers_ever_formally_discuss_mental_health_as_part_of_a_wellness_campaign_or_other_official_communication,did_your_previous_employers_provide_resources_to_learn_more_about_mental_health_issues_and_how_to_seek_help,was_your_anonymity_protected_if_you_chose_to_take_advantage_of_mental_health_or_substance_abuse_treatment_resources_with_previous_employers,do_you_think_that_discussing_a_mental_health_disorder_with_previous_employers_would_have_negative_consequences,do_you_think_that_discussing_a_physical_health_issue_with_previous_employers_would_have_negative_consequences,would_you_have_been_willing_to_discuss_a_mental_health_issue_with_your_previous_coworkers,would_you_have_been_willing_to_discuss_a_mental_health_issue_with_your_direct_supervisors,did_you_feel_that_your_previous_employers_took_mental_health_as_seriously_as_physical_health,did_you_hear_of_or_observe_negative_consequences_for_coworkers_with_mental_health_issues_in_your_previous_workplaces,would_you_be_willing_to_bring_up_a_physical_health_issue_with_a_potential_employer_in_an_interview,why_or_why_not,would_you_bring_up_a_mental_health_issue_with_a_potential_employer_in_an_interview,why_or_why_not1,do_you_feel_that_being_identified_as_a_person_with_a_mental_health_issue_would_hurt_your_career,do_you_think_that_team_memberscoworkers_would_view_you_more_negatively_if_they_knew_you_suffered_from_a_mental_health_issue,how_willing_would_you_be_to_share_with_friends_and_family_that_you_have_a_mental_illness,have_you_observed_or_experienced_an_unsupportive_or_badly_handled_response_to_a_mental_health_issue_in_your_current_or_previous_workplace,have_your_observations_of_how_another_individual_who_discussed_a_mental_health_disorder_made_you_less_likely_to_reveal_a_mental_health_issue_yourself_in_your_current_workplace,do_you_have_a_family_history_of_mental_illness,have_you_had_a_mental_health_disorder_in_the_past,do_you_currently_have_a_mental_health_disorder,if_yes_what_conditions_have_you_been_diagnosed_with,if_maybe_what_conditions_do_you_believe_you_have,have_you_been_diagnosed_with_a_mental_health_condition_by_a_medical_professional,if_so_what_conditions_were_you_diagnosed_with,have_you_ever_sought_treatment_for_a_mental_health_issue_from_a_mental_health_professional,if_you_have_a_mental_health_issue_do_you_feel_that_it_interferes_with_your_work_when_being_treated_effectively,if_you_have_a_mental_health_issue_do_you_feel_that_it_interferes_with_your_work_when_not_being_treated_effectively,what_is_your_age,what_is_your_gender,what_country_do_you_live_in,what_us_state_or_territory_do_you_live_in,what_country_do_you_work_in,what_us_state_or_territory_do_you_work_in,which_of_the_following_best_describes_your_work_position,do_you_work_remotely,gender_cleaned,gender_female,gender_male,gender_not specified,gender_other,country_grouped,country_Australia,country_Canada,country_France,country_Germany,country_Ireland,country_Netherlands,country_Other,country_Sweden,country_Switzerland,country_United Kingdom,country_United States,age_group,PCA1,PCA2,cluster
0,26-100,1.0,,Yes,I am not sure,1,1,1,Very easy,0.0,0.0,,1.0,1,0.0,,,,,,,,,1,"No, none did",N/A (not currently aware),None did,None did,No,Some of them,Some of them,"No, at none of my previous employers",Some of my previous employers,None did,Some of them,1.0,"Being honest upfront shows respect for the future employer. If they see that as a stumbling block in hiring you, then it probably wouldn't have been a good fit in the long run anyways.",1.0,Same reason as above.,"No, I don't think it would",Maybe,Very open,"Yes, I observed",,I don't know,1.0,1.0,"Mood Disorder (Depression, Bipolar Disorder, etc)",,1,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,Sometimes,Often,28.0,male,United States,Oregon,United States of America,Oregon,Front-end Developer,Never,male,False,True,False,False,United States,False,False,False,False,False,False,False,False,False,False,True,25-35,0.488836697413629,3.093900060058655,2
0,100-500,0.0,1.0,Yes,1,0,I don't know,I don't know,Somewhat difficult,1.0,0.0,0.0,0.0,0,0.0,,,,,,,,,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,0.0,It isn't relevant to my ability as a programmer.,0.0,It isn't relevant to my ability as a programmer.,"Yes, I think it would","Yes, I think they would",Not open at all,No,,1,1.0,1.0,"Anxiety Disorder (Generalized, Social, Phobia, etc)",,1,"Anxiety Disorder (Generalized, Social, Phobia, etc)",1,Never,Rarely,34.0,male,United States,Pennsylvania,United States of America,Pennsylvania,Executive Leadership,Sometimes,male,False,True,False,False,United States,False,False,False,False,False,False,False,False,False,False,True,25-35,2.732845677766918,-1.8024749248700047,0
0,100-500,1.0,,Yes,I am not sure,0,0,1,Very easy,0.0,0.0,1.0,1.0,1,0.0,,,,,,,,,1,Some did,"Yes, I was aware of all of them",Some did,Some did,"Yes, always",None of them,None of them,"Yes, at all of my previous employers",Some of my previous employers,"Yes, they all did",None of them,0.0,Seems highly unlikely to be relevant,0.0,Also seems highly likely to be irrelevant at the point that I am in an interview. ,"No, it has not","No, they do not",Somewhat open,No,,1,1.0,1.0,"Mood Disorder (Depression, Bipolar Disorder, etc)",,1,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,Rarely,Sometimes,30.0,female,United States,New Jersey,United States of America,New Jersey,Supervisor/Team Lead|Dev Evangelist/Advocate|Back-end Developer|Front-end Developer,Always,female,True,False,False,False,United States,False,False,False,False,False,False,False,False,False,False,True,25-35,1.145509368590068,2.286169260088365,2
0,100-500,0.0,1.0,Yes,1,1,1,1,Somewhat easy,0.0,0.0,0.0,,1,0.0,,,,,,,,,1,I don't know,N/A (not currently aware),None did,None did,I don't know,"Yes, all of them","Yes, all of them",Some of my previous employers,Some of my previous employers,None did,Some of them,1.0,I might have special needs that would be impossible to hide.,0.0,Too private.,Maybe,"Yes, I think they would",Not open at all,"Yes, I experienced",,0,,,,Substance Use Disorder|Addictive Disorder,0,,0,Not applicable to me,Sometimes,44.0,male,Canada,,Canada,,DevOps/SysAdmin|Back-end Developer|Front-end Developer,Sometimes,male,False,True,False,False,Canada,False,True,False,False,False,False,False,False,False,False,False,35-45,-1.1483354099370433,-0.22123748899869503,1
0,100-500,1.0,,Yes,1,0,I don't know,1,Very easy,0.0,0.0,1.0,1.0,0,0.0,,,,,,,,,1,I don't know,"No, I only became aware later",None did,None did,I don't know,I don't know,None of them,"No, at none of my previous employers",I don't know,I don't know,None of them,0.0,Because of the potential for discrimination,0.0,Because Of the potential for discrimination,"No, it has not","No, they do not",Somewhat open,No,,1,1.0,1.0,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Obsessive-Compulsive Disorder",,1,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Obsessive-Compulsive Disorder",1,Sometimes,Sometimes,35.0,male,United States,Georgia,United States of America,Georgia,Designer,Always,male,False,True,False,False,United States,False,False,False,False,False,False,False,False,False,False,True,35-45,1.1801518934805244,2.3044105241815522,2
0,100-500,1.0,,I don't know,0,0,I don't know,I don't know,Neither easy nor difficult,,,,,I don't know,0.0,,,,,,,,,1,Some did,I was aware of some,Some did,Some did,Sometimes,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,,I don't think it's appropriate to discuss those issues during early interviews. I'd wait to discuss with HR after I have a feel for what's going on.,,I don't think it's appropriate to discuss those issues during early interviews. I'd wait to discuss with HR after I have a feel for what's going on.,Maybe,Maybe,Neutral,No,,1,1.0,1.0,"Mood Disorder (Depression, Bipolar Disorder, etc)",,1,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,Rarely,Sometimes,52.0,male,United States,Oregon,United States of America,Oregon,Other|Executive Leadership,Sometimes,male,False,True,False,False,United States,False,False,False,False,False,False,False,False,False,False,True,45-60,1.782712631197938,0.9231445574079368,2
0,26-100,1.0,,Not eligible for coverage / N/A,0,0,0,I don't know,Very difficult,,0.0,,,0,0.0,,,,,,,,,1,"No, none did","No, I only became aware later",None did,None did,No,"Yes, all of them",None of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,1.0,,0.0,I have found their reaction to be a good indicator of whether our ideals are aligned / whether it's a good fit for me as a workplace.,"Yes, it has","No, I don't think they would",Very open,"Yes, I experienced",1.0,1,1.0,1.0,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Eating Disorder (Anorexia, Bulimia, etc)|Obsessive-Compulsive Disorder",,1,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",1,Sometimes,Often,32.0,other,Canada,,Canada,,Front-end Developer,Always,other,False,False,False,True,Canada,False,True,False,False,False,False,False,False,False,False,False,25-35,1.6807853067421539,0.8823543585601261,2
0,500-1000,1.0,,No,0,0,0,I don't know,I don't know,,0.0,1.0,,0,0.0,,,,,,,,,1,"No, none did","Yes, I was aware of all of them",None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,0.0,,0.0,,Maybe,Maybe,Somewhat open,Maybe/Not sure,,0,0.0,0.0,,,0,,0,Not applicable to me,Not applicable to me,34.0,male,United Kingdom,,United Kingdom,,Back-end Developer,Never,male,False,True,False,False,United Kingdom,False,False,False,False,False,False,False,False,False,True,False,25-35,-2.2820763983253793,-0.3543260447992512,1
1,,,,,,,,,,,,,,,,1.0,I know some,"No, because it would impact me negatively",1,"No, because it would impact me negatively",Yes,Yes,76-100%,0,,,,,,,,,,,,0.0,,0.0,bad idea ,"Yes, it has","Yes, they do",Somewhat not open,"Yes, I observed",1.0,I don't know,1.0,1.0,"Personality Disorder (Borderline, Antisocial, Paranoid, etc)|Attention Deficit Hyperactivity Disorder",,1,"Personality Disorder (Borderline, Antisocial, Paranoid, etc)|Attention Deficit Hyperactivity Disorder",1,Often,Often,25.0,female,United States,Washington,United States of America,Washington,One-person shop,Always,female,True,False,False,False,United States,False,False,False,False,False,False,False,False,False,False,True,25-35,2.0212205010802298,-0.26442619095352105,0
0,100-500,0.0,1.0,I don't know,0,0,0,I don't know,I don't know,1.0,0.0,0.0,0.0,1,0.0,,,,,,,,,1,I don't know,N/A (not currently aware),None did,Some did,I don't know,"Yes, all of them",None of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,1.0,Physical impairments aren't traditionally stigmatized. Far less judgements and resulting talk behind backs compared to mental,0.0,Stigmatized. Uncomfortable for both parties. Mental instability frowned upon in technical roles. ,"Yes, I think it would","Yes, I think they would",Somewhat not open,No,,1,1.0,1.0,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",,1,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",1,Rarely,Sometimes,31.0,male,United States,New Jersey,United States of America,New York,Back-end Developer|Front-end Developer,Sometimes,male,False,True,False,False,United States,False,False,False,False,False,False,False,False,False,False,True,25-35,2.4194767399422727,-1.132369336658279,0
0,6-25,1.0,,No,,0,0,I don't know,Very easy,0.0,0.0,,1.0,I don't know,0.0,,,,,,,,,1,"Yes, they all did","Yes, I was aware of all of them",None did,None did,"Yes, always",None of them,None of them,Some of my previous employers,Some of my previous employers,"Yes, they all did",None of them,,It might affect their opinion of me.,0.0,I feel it would definitely affect my chances at being accepted.,"Yes, I think it would","Yes, I think they would",Somewhat not open,Maybe/Not sure,,1,,0.0,,,0,,0,Not applicable to me,Not applicable to me,26.0,male,United States,New York,United States of America,New York,Back-end Developer,Sometimes,male,False,True,False,False,United States,False,False,False,False,False,False,False,False,False,False,True,25-35,-2.0337699646313365,0.43638530970253836,1
0,More than 1000,0.0,1.0,Yes,0,1,I don't know,I don't know,Somewhat easy,0.0,0.0,,1.0,I don't know,0.0,,,,,,,,,1,Some did,"Yes, I was aware of all of them",Some did,Some did,"Yes, always",None of them,Some of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,0.0,I don't have any,0.0,I don't have any,Maybe,Maybe,Neutral,No,,0,0.0,0.0,,,0,,0,Not applicable to me,Not applicable to me,35.0,male,United States,Indiana,United States of America,Indiana,Other,Never,male,False,True,False,False,United States,False,False,False,False,False,False,False,False,False,False,True,35-45,-2.4281065917843594,-0.29795579052607335,1
0,26-100,1.0,,Yes,1,0,0,I don't know,Very easy,,,,0.0,I don't know,0.0,,,,,,,,,1,"Yes, they all did","Yes, I was aware of all of them",None did,None did,I don't know,I don't know,Some of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,,depends on the illness,,,Maybe,"No, I don't think they would",Neutral,No,,I don't know,,0.0,,,0,,0,Not applicable to me,Not applicable to me,25.0,male,Germany,,Germany,,Back-end Developer,Sometimes,male,False,True,False,False,Germany,False,False,False,True,False,False,False,False,False,False,False,25-35,-1.390092960625127,-1.261991042891773,1
